lat,lon,location
40.869,45.142,"Ijevan, Armenia"
63.431146,10.394754,"Trondheim, Norway"
41.881362,-73.481678,"Sharon, United States"
43.667,141.989,"Fukagawa, Japan"
21.756,-72.264,"Providenciales, Turks and Caicos Islands"
18.664,98.68,"Ban Mae Mut, Thailand"
9.434,123.387,"Oslob, Philippines"
-4.043,39.595,"Airport ward, Kenya"
2.051,102.57,"Muar, Malaysia"
4.552,115.16,"Temburong District, Brunei"
42.739552,44.627774,"Kazbegi Municipality, Georgia"
-4.022,39.58,"Miritini ward, Kenya"
45.56,-73.565,"Montreal, Canada"
60.309,25.052,"Vantaa, Finland"
45.224,11.727,"Monselice, Italy"
11.06148,106.52601,"Ho Chi Minh City, Vietnam"
36.797,10.163,"Tunis, Tunisia"
4.5517,115.16025,"Temburong District, Brunei"
47.372919,8.54139,"Zurich, Switzerland"
41.054725,45.063049,"Qazakh District, Azerbaijan"
9.43399,123.38637,"Oslob, Philippines"
-1.554853,35.024553,"Siana ward, Kenya"
54.68077,25.29742,"Vilnius, Lithuania"
-8.49324,119.87944,"Labuan Bajo, Indonesia"
33.64088,-84.44622,"Atlanta, United States"
48.40918,-122.64567,"Skagit County, United States"
38.69151,-9.21584,"Lisbon, Portugal"
18.66346,98.67961,"Ban Mae Mut, Thailand"
8.95208,-79.54411,"El Chorrillo, Panama"
43.76881,142.47564,"Asahikawa, Japan"
32.1965,-110.70565,"Pima County, United States"
33.805938,-117.919375,"Anaheim, United States"
33.96106,-80.97115,"Columbia, United States"
21.8185,-72.1477,"Providenciales, Turks and Caicos Islands"
28.472,-81.473,"Orlando, United States"
37.916559,126.69825,"Paju, South Korea"
49.35928,-0.85358,"Colleville-sur-Mer, France"
63.9933,-22.6247,"Suðurnesjabær, Iceland"
-8.681212,119.557223,"Manggarai Barat, Indonesia"
21.81855,-72.14773,"Providenciales, Turks and Caicos Islands"
25.68877,51.55353,"Purple Island, Qatar"
31.25318,121.45228,"Jing'an District, China"
54.66989,25.28461,"Vilnius, Lithuania"
44.67567,-68.22226,"Eastbrook, United States"
-4.06229,39.6796,"Makadara/Mji Wa Kale ward, Kenya"
42.20012,1.32721,"Organyà, Spain"
32.10669,-111.00817,"San Xavier, United States"
42.73977592085481,44.62739081575717,"Kazbegi Municipality, Georgia"
-17.190905,-70.9476,"Moquegua, Peru"
36.06172,-112.10774,"Coconino County, United States"
-1.23435,36.82652,"Nairobi, Kenya"
48.44388,1.49448,"Chartres, France"
39.700574,141.153106,"Morioka, Japan"
-33.4545,-70.6281,"Provincia de Santiago, Chile"
43.64727,-79.37777,"Toronto, Canada"
-13.40634,-71.84154,"Pisac, Peru"
13.97781,120.97881,"San Nicolas, Philippines"
42.53175,44.47239,"Kazbegi Municipality, Georgia"
26.835839,75.889244,"Sanganer Tehsil, India"
-33.40765,-70.5678,"Provincia de Santiago, Chile"
43.349984,77.012367,"Almaty, Kazakhstan"
63.45189,10.91642,"Stjørdal, Norway"
