lat,lon,location
34.89846,33.63895,"Larnaca, Cyprus"
29.98748,-95.33487,"Houston, United States"
34.89847,33.63896,"Larnaca, Cyprus"
55.088497,20.735991,"Zelenogradsky District, Russia"
42.047942,-70.189718,"Provincetown, United States"
34.64184,32.71648,"Pissouri, Cyprus"
36.85936,-75.97732,"Virginia Beach, United States"
29.98752,-95.33489,"Houston, United States"
28.0529,-14.32,"Pájara, Spain"
40.48768,-3.58989,"Madrid, Spain"
55.6993,21.1235,"Klaipėda, Lithuania"
34.8985,33.6389,"Larnaca, Cyprus"
35.106495,-81.041315,"York County, United States"
41.9134,-87.6869,"West Chicago Township, United States"
43.34874,5.31766,"Marseille, France"
59.84743,13.543,"Munkfors, Sweden"
28.05293,-14.31998,"Pájara, Spain"
43.08895,-79.07281,"Niagara Falls, Canada"
35.17816,33.36056,"Lefkoşa, Cyprus"
28.08373,-16.73608,"Adeje, Spain"
55.69929,21.1235,"Klaipėda, Lithuania"
34.81567,33.60191,"Pervolia, Cyprus"
42.36647,-71.05476,"Boston, United States"
42.1799,-88.35359,"Lake in the Hills, United States"
60.40203,5.24213,"Kleppestø, Norway"
36.69809,-80.7376,"Carroll County, United States"
35.82216,-83.57896,"Pigeon Forge, United States"
43.43317,-86.22551,"Twin Lake, United States"
36.86986,10.3525,"Tunis, Tunisia"
35.09486,-81.02956,"Mecklenburg County, United States"
42.15655,-71.96301,"Charlton, United States"
40.57423,-81.78137,"Berlin, United States"
35.04606,25.77864,"Ierapetra Municipal Unit, Greece"
29.98749,-95.33487,"Houston, United States"
43.79964,-75.23268,
34.8206,33.60401,"Pervolia, Cyprus"
53.07248,8.80441,"Bremen, Germany"
60.39648,5.324,"Bergen, Norway"
60.40047,5.35938,"Bergen, Norway"
43.5009,16.45342,"Split, Croatia"
51.2223,9.47845,"Dörnhagen, Germany"
35.34344,25.13462,"Heraklion Municipal Unit, Greece"
34.6436,32.70415,"Pissouri, Cyprus"
28.2179,-16.83455,"Guía de Isora, Spain"
36.87066,10.3503,"Tunis, Tunisia"
40.85253,14.25951,"Naples, Italy"
51.47742,-0.48009,"London, United Kingdom"
52.37871,4.90115,"Amsterdam, Netherlands"
28.30056,-16.827,"Buenavista del Norte, Spain"
50.06191,19.93923,"Krakow, Poland"
50.25982,19.01565,"Katowice, Poland"
28.03936,-16.5874,"Granadilla de Abona, Spain"
50.08707,14.39809,"Prague, Czechia"
50.9665,10.3075,"Eisenach, Germany"
55.64113,9.56249,"Vejle, Denmark"
59.8474,13.543,"Munkfors, Sweden"
52.206,4.39045,"Katwijk, Netherlands"
43.5033,16.4567,"Split, Croatia"
43.507369,16.438947,"Split, Croatia"
52.5076,13.4542,"Berlin, Germany"
43.348744,5.317667,"Marseille, France"
40.487663,-3.58969,"Madrid, Spain"
50.03304,19.96591,"Krakow, Poland"
50.0281,19.205,"Oświęcim, Poland"
52.63248,4.74447,"Alkmaar, Netherlands"
50.90972,6.4054,"Jülich, Germany"
47.17279,11.86136,"Schwendau, Austria"
50.08631,14.42071,"Prague, Czechia"
50.85014,5.69025,"Maastricht, Netherlands"
53.59138,7.4391,"Nenndorf, Germany"
44.41062,8.93755,"Genoa, Italy"
59.27267,14.05173,"Kristinehamns kommun, Sweden"
53.87432,8.7045,"Cuxhaven, Germany"
47.75809,16.65148,"Mörbisch am See, Austria"
54.63855,19.89255,"Baltiysk, Russia"
36.4459,28.22719,"Municipal Unit of Rhodes, Greece"
47.54476,9.68427,"Lindau (Bodensee), Germany"
43.50333,16.45667,"Split, Croatia"
43.80665,15.96434,"Skradin, Croatia"
50.8462,5.69693,"Maastricht, Netherlands"
55.64111,9.56251,"Vejle, Denmark"
50.02896,19.96132,"Krakow, Poland"
51.0232,9.24194,"Trockenerfurth, Germany"
52.38049,9.77329,"Hanover, Germany"
54.63072,9.93385,"Arnis, Germany"
50.55516,8.72339,"Gießen, Germany"
51.49743,-0.14112,"Westminster, United Kingdom"
53.62957,9.86848,"Halstenbek, Germany"
42.04801,-70.18965,"Provincetown, United States"
40.4229,-3.71716,"Madrid, Spain"
50.11286,8.67132,"Frankfurt, Germany"
54.70639,20.503,"Kaliningrad, Russia"
35.30121,25.41129,"Chersonisos Municipal Unit, Greece"
43.80706,-75.25512,"Town of Watson, United States"
35.09422,-81.02452,"Charlotte, United States"
34.8984,33.63895,"Larnaca, Cyprus"
28.0529,-14.31998,"Pájara, Spain"
34.81567,33.6019,"Pervolia, Cyprus"
29.9874,-95.33487,"Houston, United States"
50.03304,19.9659,"Krakow, Poland"
35.10648,-81.04134,"York County, United States"
41.77651,-73.93057,"Town of Hyde Park, United States"
54.26792,8.8455,"Tönning, Germany"
28.21132,-16.63502,"La Orotava, Spain"
50.52355,8.59352,"Hüttenberg, Germany"
52.23395,8.9057,"Porta Westfalica, Germany"
37.19248,-81.12242,
40.41365,-3.67787,"Madrid, Spain"
50.97636,7.6429,"Reichshof, Germany"
35.20696,-80.86547,"Charlotte, United States"
