lat,lon,location
-23.460229,-66.111893,
42.3171786,-121.9421194,"Klamath County, United States"
41.883341,-87.636984,"Chicago, United States"
0.077767,36.97554,"Laikipia North, Kenya"
48.385897,-124.726639,"Clallam County, United States"
-24.183274,-65.305017,"San Salvador de Jujuy, Argentina"
42.072087,-73.930014,"Town of Saugerties, United States"
-54.90494,-67.37462,"Departamento Ushuaia, Argentina"
-4.337364,39.569333,"Ukunda ward, Kenya"
-1.3761296,36.7460483,"Nairobi, Kenya"
-34.43799,-58.64324,"Nordelta, Argentina"
38.533013,-77.235945,"Charles County, United States"
19.428276,-99.167363,"Ciudad de México, Mexico"
21.282274,-157.827522,"Honolulu, United States"
-24.44934,-65.250383,"El Carmen, Argentina"
35.689457,139.68948,"Tokyo, Japan"
0.826944,37.541389,"Wamba East ward, Kenya"
49.002089,-122.756254,"Blaine, United States"
40.448208,116.553786,"Huairou, China"
22.030457,100.760808,"Jinghong, China"
32.78893,-97.346734,"Fort Worth, United States"
27.166598,100.240789,"Lijiang, China"
-34.812758,-58.538878,"Aeropuerto Internacional Ezeiza, Argentina"
22.265811,114.184626,"Hong Kong, China"
-23.742813,-65.501782,"Purmamarca, Argentina"
36.60914,-121.845616,"Seaside, United States"
-54.874053,-67.330225,"Departamento Ushuaia, Argentina"
31.216068,121.546239,"Pudong, China"
22.017517,100.765302,"Jinghong, China"
35.765284,140.385524,"Narita, Japan"
43.10822,-124.434609,"Bandon, United States"
29.317103,110.430043,"Luoguta, China"
34.685211,135.8399,"Nara, Japan"
-34.605484,-58.360316,"Comuna 1, Argentina"
25.970501,100.148589,"Dali, China"
-23.399458,-66.365708,"Susques, Argentina"
22.180451,113.531052,"Macau, China"
32.961556,-117.268416,"Del Mar, United States"
40.82796,14.425498,"Ercolano, Italy"
42.447558,-76.485791,"Ithaca, United States"
40.752007,-74.001048,"New York, United States"
43.776989,11.258705,"Florence, Italy"
41.361176,2.179532,"Barcelona, Spain"
22.179747,113.533001,"Macau, China"
48.905862,-121.807992,"Whatcom County, United States"
43.741274,7.430501,"Monaco, Monaco"
32.784056,-96.802874,"Dallas, United States"
22.18761,113.86776,
-23.763551,-65.476757,"Purmamarca, Argentina"
32.850615,-97.48891,"Fort Worth, United States"
40.74839,14.48837,"Pompei, Italy"
41.414732,2.154293,"Barcelona, Spain"
-24.887328,-65.701781,"Campo Quijano, Argentina"
35.764256,140.38521,"Narita, Japan"
41.982359,-73.432181,"Salisbury, United States"
29.33666,110.42929,"Luoguta, China"
42.36123,-71.082565,"Cambridge, United States"
25.78034,-80.12928,"Miami Beach, United States"
32.467648,-116.873887,"Hacienda Casa Grande, Mexico"
41.374404,2.149558,"Barcelona, Spain"
36.061634,-112.107782,"Coconino County, United States"
0.72423,37.59791,
43.342978,5.337143,"Marseille, France"
-50.312287,-72.248844,"El Calafate, Argentina"
40.738834,-73.886818,"New York, United States"
-34.611511,-58.358367,"Comuna 1, Argentina"
0.074707,36.97394,"Laikipia North, Kenya"
41.860158,-87.617568,"Chicago, United States"
42.375578,-71.114245,"Cambridge, United States"
46.575125,-120.490076,"Yakima, United States"
42.371134,-71.096577,"Cambridge, United States"
26.05169,101.70923,"Yongren, China"
32.93344,-97.0785,"Grapevine, United States"
37.828919,-82.836712,"Johnson County, United States"
37.799565,-79.419719,"Lexington, United States"
43.761069,-105.47786,"Wright, United States"
19.428628,-99.167174,"Calle Río Danubio, Mexico"
38.924834,-110.375885,"Emery County, United States"
48.866023,-121.67761,"Whatcom County, United States"
44.108449,-103.20282,"Rapid City, United States"
30.239546,-92.619327,"Jefferson Davis Parish, United States"
41.879656,-87.636937,"Chicago, United States"
41.82727,-71.40746,"Providence, United States"
39.448028,-77.987986,"Martinsburg, United States"
34.41304,135.29359,"Izumisano, Japan"
48.457514,-122.381389,"Burlington, United States"
32.746183,-97.349725,"Fort Worth, United States"
40.220859,-122.252318,"Red Bluff, United States"
40.727928,-74.129935,"Newark, United States"
36.11179,-115.44976,"Clark County, United States"
48.296306,-124.406417,"Clallam County, United States"
25.78847,-80.208,"Miami, United States"
39.63936,-75.78402,"New Castle County, United States"
25.788551,-80.20769,"Miami, United States"
39.255794,-119.916879,"Washoe County, United States"
35.913585,-121.4698,"Monterey County, United States"
35.220137,-80.946849,"Charlotte, United States"
40.8045972,-73.9640738,"New York, United States"
