lat,lon,location
50.09029,14.40068,"Prague, Czechia"
43.25893,76.9562,"Almaty, Kazakhstan"
41.26236,28.74051,"Arnavutköy, Turkey"
55.70399,13.19254,"Lund, Sweden"
40.71366,-74.032499,"Jersey City, United States"
-8.75071,115.474153,"Sakti, Indonesia"
55.304937,10.87884,
21.218485,105.790843,"Hanoi, Vietnam"
40.354784,49.837049,"Baku, Azerbaijan"
42.356906,-73.284743,"Lenox, United States"
40.703348,-73.996246,"New York, United States"
27.79592,70.352701,"Jaisalmer Tehsil, India"
40.81509270475834,-72.86641743660694,"Town of Brookhaven, United States"
25.198866,55.277817,"Dubai, United Arab Emirates"
